url,Jenis/Bentuk Peraturan,Pemrakarsa,Nomor,Tahun,Tentang,Tempat Penetapan,Ditetapkan Tanggal,Pejabat yang Menetapkan,Status,Tahun Pengundangan,Nomor Pengundangan,Nomor Tambahan,Tanggal,Pejabat Pengundangan
https://peraturan.go.id/id/permendag-no-38-tahun-2021,PERATURAN MENTERI,KEMENTERIAN PERDAGANGAN,38,2021,PENGENDALIAN GRATIFIKASI DI LINGKUNGAN KEMENTERIAN PERDAGANGAN,Jakarta,17 Juni 2021,,Berlaku,2021,730,,28 Juni 2021,
https://peraturan.go.id/id/peraturan-bkn-no-45-tahun-2019,PERATURAN BADAN/LEMBAGA,BADAN KEPEGAWAIAN NEGARA,45,2019,PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL ANALIS PERKEBUNRAYAAN,Jakarta,11 Oktober 2019,,Berlaku,2019,1356,,29 Oktober 2019,
https://peraturan.go.id/id/permenkes-no-18-tahun-2020,PERATURAN MENTERI,KEMENTERIAN KESEHATAN,18,2020,PENGELOLAAN LIMBAH MEDIS FASILITAS PELAYANAN KESEHATAN BERBASIS WILAYAH,Jakarta,15 Juli 2020,,Berlaku,2020,804,,21 Juli 2020,
https://peraturan.go.id/id/permendag-no-13-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PERDAGANGAN,13,2020,TATA CARA PENERIMAAN DAN PEMBERIAN HIBAH DI KEMENTERIAN PERDAGANGAN,Jakarta,07 Februari 2020,,Berlaku,2020,118,,12 Februari 2020,
https://peraturan.go.id/id/perda-kabupaten-palu-no-77-tahun-2016,PERATURAN DAERAH,KABUPATEN PALU,77,2016,Perubahan Anggaran Pendapatan dan Belanja Daerah Kota Palu Tahun Anggaran 2016,,29 September 2016,,Berlaku,,7,7,29 September 2016,
https://peraturan.go.id/id/perpres-no-10-tahun-2022,PERATURAN PRESIDEN,PEMERINTAH PUSAT,10,2022,ORGANISASI DAN TATA KERJA PUSAT PELAPORAN DAN ANALISIS TRANSAKSI KEUANGAN ,Jakarta,20 Januari 2022,,Berlaku,2022,18,,20 Januari 2022,
https://peraturan.go.id/id/permen-kkp-no-11-permen-kp-2019-tahun-2019,PERATURAN MENTERI,KEMENTERIAN KELAUTAN DAN PERIKANAN,11/PERMEN-KP/2019,2019,PEMASUKAN MEDIA PEMBAWA DAN/ATAU HASIL PERIKANAN,Jakarta,06 Maret 2019,,Berlaku,2019,410,,10 April 2019,
https://peraturan.go.id/id/peraturan-bawaslu-no-1-tahun-2022,PERATURAN BADAN/LEMBAGA,BADAN PENGAWAS PEMILIHAN UMUM,1,2022,"PERUBAHAN ATAS PERATURAN BADAN PENGAWAS PEMILIHAN UMUM NOMOR 10 TAHUN 2019 TENTANG PENGELOLAAN DAN PELAYANAN INFORMASI PUBLIK BADAN PENGAWAS PEMILIHAN UMUM, BADAN PENGAWAS PEMILIHAN UMUM PROVINSI, DAN BADAN PENGAWAS PEMILIHAN UMUM KABUPATEN/KOTA",Jakarta,06 Januari 2022,,Berlaku,2022,17,,11 Januari 2022,
https://peraturan.go.id/id/perda-kota-tebing-tinggi-no-15-tahun-2011,PERATURAN DAERAH,KOTA TEBING TINGGI,15,2011,Rencana Pembangunan Jangka Panjang (RPJP) Daerah kota Tebing Tinggi Tahun 2006-2025,,07 November 2011,,Berlaku,,15,12,07 November 2011,
https://peraturan.go.id/id/pp-no-56-tahun-2022,PERATURAN PEMERINTAH,PEMERINTAH PUSAT,56,2022,KEKAYAAN INTELEKTUAL KOMUNAL,Jakarta,20 Desember 2022,,Berlaku,2022,232,6837,20 Desember 2022,
https://peraturan.go.id/id/perda-kabupaten-blora-no-1-tahun-2021,PERATURAN DAERAH,KABUPATEN BLORA,1,2021,Perubahan Atas Peraturan Daerah Nomor 1 Tahun 2011 tentang Pengelolaan Sampah,,04 Maret 2021,,Berlaku,,1,1,04 Maret 2021,
https://peraturan.go.id/id/peraturan-bpom-no-1-tahun-2019,PERATURAN BADAN/LEMBAGA,BADAN PENGAWAS OBAT DAN MAKANAN,1,2019,PERUBAHAN ATAS PERATURAN BADAN PENGAWAS OBAT DAN MAKANAN NOMOR 28 TAHUN 2017 TENTANG RENCANA STRATEGIS BADAN PENGAWAS OBAT DAN MAKANAN TAHUN 2015-2019 ,Jakarta,28 Januari 2019,,Berlaku,2019,213,,27 Februari 2019,
https://peraturan.go.id/id/permenperin-no-17-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PERINDUSTRIAN,17,2020,TATA CARA MEMPEROLEH SURAT KETERANGAN DALAM RANGKA PEMBENTUKAN KAWASAN INDUSTRI HALAL,Jakarta,08 Juni 2020,,Berlaku,2020,604,,11 Juni 2020,
https://peraturan.go.id/id/peraturan-bkkbn-no-18-tahun-2020,PERATURAN BADAN/LEMBAGA,BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL,18,2020,PELAYANAN KELUARGA BERENCANA PASCA PERSALINAN,Jakarta,19 Oktober 2020,,Berlaku,2020,1235,,26 Oktober 2020,
https://peraturan.go.id/id/perda-kabupaten-sragen-no-14-tahun-2008,PERATURAN DAERAH,KABUPATEN SRAGEN,14,2008,Organisasi & Tata Kerja Dinas Daerah Kabupaten Sragen.,,15 Desember 2008,,Berlaku,,14,11,15 Desember 2008,
https://peraturan.go.id/id/peraturan-kejakgung-no-7-tahun-2020,PERATURAN BADAN/LEMBAGA,KEJAKSAAN AGUNG,7,2020,PERUBAHAN KEDUA ATAS PERATURAN JAKSA AGUNG NOMOR PER-027/A/JA/10/2014 TENTANG PEDOMAN PEMULIHAN ASET   ,Jakarta,28 Mei 2020,,Berlaku,2020,568,,04 Juni 2020,
https://peraturan.go.id/id/perda-kabupaten-kepulauan-sangihe-no-1-tahun-2019,PERATURAN DAERAH,KABUPATEN KEPULAUAN SANGIHE,1,2019,Peraturan Daerah Kabupaten Kepulauan Sangihe Nomor 1 Tahun 2019 tentang Perubahan Atas Peraturan Daerah Nomor 5 Tahun 2016 tentang Pembentukan dan Susunan Perangkat Daerah Kabupaten Kepulauan Sangihe,,14 Agustus 2019,,Berlaku,,1,,14 Agustus 2019,
https://peraturan.go.id/id/perda-provinsi-kalimantan-utara-no-3-tahun-2021,PERATURAN DAERAH,PROVINSI KALIMANTAN UTARA,3,2021,LAMBANG DAERAH,,10 Mei 2021,,Berlaku,,3,37,10 Mei 2021,
https://peraturan.go.id/id/permen-lhk-no-5-tahun-2022,PERATURAN MENTERI,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN,5,2022,PENGOLAHAN AIR LIMBAH BAGI USAHA DAN/ATAU KEGIATAN PERTAMBANGAN DENGAN MENGGUNAKAN METODE LAHAN BASAH BUATAN,Jakarta,25 Maret 2022,,Berlaku,2022,374,,05 April 2022,
https://peraturan.go.id/id/peraturan-bawaslu-no-17-tahun-2020,PERATURAN BADAN/LEMBAGA,BADAN PENGAWAS PEMILIHAN UMUM,17,2020,"PENGAWASAN REKAPITULASI HASIL PENGHITUNGAN SUARA DAN PENETAPAN HASIL PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI, SERTA WALI KOTA DAN WAKIL WALI KOTA ",Jakarta,03 Desember 2020,,Berlaku,2020,1436,,03 Desember 2020,
https://peraturan.go.id/id/permenag-no-30-tahun-2022,PERATURAN MENTERI,KEMENTERIAN AGAMA,30,2022,PERUBAHAN KEDUA ATAS PERATURAN MENTERI AGAMA NOMOR 9 TAHUN 2015 TENTANG ORGANISASI DAN TATA KERJA INSTITUT AGAMA ISLAM NEGERI KENDARI,Jakarta,06 September 2022,,Berlaku,2022,877,,08 September 2022,
https://peraturan.go.id/id/perda-kabupaten-magetan-no-11-tahun-2013,PERATURAN DAERAH,KABUPATEN MAGETAN,11,2013,Peraturan Daerah (PERDA) tentang Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2014,,27 Desember 2013,,Berlaku,,12,,24 November 2013,
https://peraturan.go.id/id/permenperin-no-28-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PERINDUSTRIAN,28,2020,KENDARAAN BERMOTOR LISTRIK BERBASIS BATERAI DALAM KEADAAN TERURAI LENGKAP DAN KEADAAN TERURAI TIDAK LENGKAP,Jakarta,17 September 2020,,Berlaku,2020,1042,,17 September 2020,
https://peraturan.go.id/id/peraturan-bmkg-no-8-tahun-2019,PERATURAN BADAN/LEMBAGA,"BADAN METEOROLOGI,KLIMATOLOGI,DAN GEOFISIKA",8,2019,"ORGANISASI DAN TATA KERJA BALAI BESAR METEOROLOGI, KLIMATOLOGI, DAN GEOFISIKA, STASIUN METEOROLOGI, STASIUN KLIMATOLOGI, DAN STASIUN GEOFISIKA",Jakarta,25 April 2019,,Berlaku,2019,467,,26 April 2019,
https://peraturan.go.id/id/permen-pupr-no-17-prt-m-2019-tahun-2019,PERATURAN MENTERI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,17/PRT/M/2019,2019,PENCABUTAN PERATURAN MENTERI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT NOMOR 09/PRT/M/2019 TENTANG PEDOMAN PELAYANAN PERIZINAN BADAN USAHA JASA KONSTRUKSI ASING,Jakarta,12 November 2019,,Berlaku,2019,1459,,18 November 2019,
https://peraturan.go.id/id/peraturan-lipi-no-23-tahun-2019,PERATURAN BADAN/LEMBAGA,LEMBAGA ILMU PENGETAHUAN INDONESIA,23,2019,EKOSISTEM RAMAH INOVASI DI LINGKUNGAN LEMBAGA ILMU PENGETAHUAN INDONESIA ,Jakarta,26 Desember 2019,,Berlaku,2019,1682,,30 Desember 2019,
https://peraturan.go.id/id/perda-kabupaten-sragen-no-3-tahun-2021,PERATURAN DAERAH,KABUPATEN SRAGEN,3,2021,PERUBAHAN KEDUA ATAS PERATURAN DAERAH KABUPATEN SRAGEN NOMOR 5 TAHUN 2016 TENTANG PEMBENTUKAN DAN SUSUNAN PERANGKAT DAERAH KABUPATEN SRAGEN ,,08 November 2021,,Berlaku,,3,,08 November 2021,
https://peraturan.go.id/id/permen-kkp-no-1-permenkp-2020-tahun-2020,PERATURAN MENTERI,KEMENTERIAN KELAUTAN DAN PERIKANAN,1/PERMENKP/2020,2020,PETUNJUK TEKNIS PENGELOLAAN DANA ALOKASI KHUSUS FISIK BIDANG KELAUTAN DAN PERIKANAN TAHUN 2020,Jakarta,17 Januari 2020,,Berlaku,2020,123,,12 Februari 2020,
https://peraturan.go.id/id/peraturan-bnpb-no-8-tahun-2022,PERATURAN BADAN/LEMBAGA,BADAN NASIONAL PENANGGULANGAN BENCANA,8,2022,TATA CARA PEMILIHAN DAN TATA KERJA UNSUR PENGARAH PENANGGULANGAN BENCANA ,Jakarta,01 Desember 2022,,Berlaku,2022,1219,,05 Desember 2022,
https://peraturan.go.id/id/pp-no-4-tahun-2020,PERATURAN PEMERINTAH,PEMERINTAH PUSAT,4,2020,TATA CARA PENGANGKATAN KETUA DAN ANGGOTA DEWAN PENGAWAS KOMISI PEMBERANTASAN TINDAK PIDANA KORUPSI,Jakarta,16 Januari 2020,JOKO WIDODO,Berlaku,2020,8,6457,20 Januari 2020,
https://peraturan.go.id/id/perpusnas-no-4-tahun-2022,PERATURAN BADAN/LEMBAGA,PERPUSTAKAAN NASIONAL,4,2022,PEDOMAN PENAKSIRAN NILAI BARANG MILIK NEGARA/ BARANG MILIK DAERAH HASIL SERAH SIMPAN BERUPA KARYA REKAM DIGITAL,Jakarta,18 Mei 2022,,Berlaku,2022,532,,30 Mei 2022,
https://peraturan.go.id/id/pp-no-11-tahun-2020,PERATURAN PEMERINTAH,PEMERINTAH PUSAT,11,2020,PERUBAHAN BENTUK BADAN HUKUM PERUSAHAAN UMUM (PERUM) JAMINAN KREDIT INDONESIA MENJADI PERUSAHAAN PERSEROAN (PERSERO),Jakarta,14 Februari 2020,JOKO WIDODO,Tidak Berlaku Dicabut Oleh :Peraturan Pemerintah Nomor 20 Tahun 2020 Tentang Penambahan Penyertaan Modal Negara Republik Indonesia ke dalam Modal Saham Perusahaan Perseroan (persero) Pt Bahana Pembinaan Usaha Indonesia,2020,42,,17 Februari 2020,
https://peraturan.go.id/id/permentan-no-08-tahun-2023,PERATURAN MENTERI,KEMENTERIAN PERTANIAN,08,2023,PETUNJUK TEKNIS PENGGUNAAN DANA ALOKASI KHUSUS NONFISIK DANA KETAHANAN PANGAN DAN PERTANIAN TAHUN ANGGARAN 2023,Jakarta,11 Januari 2023,,Berlaku,2023,102,,26 Januari 2023,
https://peraturan.go.id/id/permenhan-no-23-tahun-2019,PERATURAN MENTERI,KEMENTERIAN PERTAHANAN,23,2019,PELAKSANA DALAM PENYELENGGARAAN PROGRAM MAGISTER KETAHANAN NASIONAL,Jakarta,30 Agustus 2019,,Berlaku,2019,1129,,03 Oktober 2019,
https://peraturan.go.id/id/peraturan-anri-no-11-tahun-2022,PERATURAN BADAN/LEMBAGA,ARSIP NASIONAL,11,2022,PAKAIAN DINAS PEGAWAI DI LINGKUNGAN ARSIP NASIONAL REPUBLIK INDONESIA,Jakarta,01 Desember 2022,,Berlaku,2022,1244,,12 Desember 2022,
https://peraturan.go.id/id/perda-kabupaten-sumba-barat-no-7-tahun-2017,PERATURAN DAERAH,KABUPATEN SUMBA BARAT,7,2017,Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran 2018,,22 Desember 2017,,Berlaku,,7,,22 Desember 2017,
https://peraturan.go.id/id/perda-provinsi-kalimantan-utara-no-19-tahun-2019,PERATURAN DAERAH,PROVINSI KALIMANTAN UTARA,19,2019,Penyertaan Modal Pemerintah Daerah Pada Perseroan Terbatas Benuanta Kaltara Jaya,,30 Desember 2019,,Berlaku,,19,,30 Desember 2019,
https://peraturan.go.id/id/permen-pupr-no-3-tahun-2022,PERATURAN MENTERI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,3,2022,PEDOMAN UMUM PENGAWASAN INTERN ,Jakarta,10 Januari 2022,,Berlaku,2022,84,,20 Januari 2022,
https://peraturan.go.id/id/perda-kabupaten-bandung-no-3-tahun-2018,PERATURAN DAERAH,KABUPATEN BANDUNG,3,2018,PEMBENTUKAN PRODUK HUKUM DAERAH,,06 September 2018,,Berlaku,,3,,06 September 2018,
https://peraturan.go.id/id/permendagri-no-41-tahun-2022,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,41,2022,BATAS DAERAH KABUPATEN MAMBERAMO RAYA DENGAN KABUPATEN PUNCAK JAYA PROVINSI PAPUA,Jakarta,22 Februari 2022,,Berlaku,2022,259,,10 Maret 2022,
https://peraturan.go.id/id/permen-kkp-no-28-tahun-2022,PERATURAN MENTERI,KEMENTERIAN KELAUTAN DAN PERIKANAN,28,2022,PEDOMAN PENGHITUNGAN KEBUTUHAN JABATAN FUNGSIONAL PENGELOLA EKOSISTEM LAUT DAN PESISIR ,Jakarta,24 Oktober 2022,,Berlaku,2022,1099,,01 November 2022,
https://peraturan.go.id/id/peraturan-bkn-no-20-tahun-2019,PERATURAN BADAN/LEMBAGA,BADAN KEPEGAWAIAN NEGARA,20,2019,PETUNJUK PELAKSANAAN PEMBINAAN JABATAN FUNGSIONAL PERISALAH LEGISLATIF,Jakarta,06 September 2019,,Berlaku,2019,1083,,20 September 2019,
https://peraturan.go.id/id/peraturan-lipi-no-17-tahun-2019,PERATURAN BADAN/LEMBAGA,LEMBAGA ILMU PENGETAHUAN INDONESIA,17,2019,KOMISI ETIK DAN PERILAKU PENELITI LEMBAGA ILMU PENGETAHUAN INDONESIA,Jakarta,12 November 2019,,Berlaku,2019,1452,,13 November 2019,
https://peraturan.go.id/id/permen-ppn-bappenas-no-12-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL,12,2020,PENERAPAN KERANGKA KUALIFIKASI NASIONAL INDONESIA PERENCANAAN PEMBANGUNAN ,Jakarta,08 Desember 2020,,Berlaku,2020,1456,,10 Desember 2020,
https://peraturan.go.id/id/permendagri-no-64-tahun-2022,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,64,2022,BATAS DAERAH KABUPATEN EMPAT LAWANG DENGAN KABUPATEN LAHAT PROVINSI SUMATERA SELATAN,Jakarta,01 Maret 2022,,Berlaku,2022,299,,22 Maret 2022,
https://peraturan.go.id/id/perda-kabupaten-toli-toli-no-11-tahun-2019,PERATURAN DAERAH,KABUPATEN TOLI-TOLI,11,2019,PENYELENGGARAAN DAN PENGELOLAAN KEPARIWISATAAN,,22 Oktober 2019,,Berlaku,,75,208,22 Oktober 2019,
https://peraturan.go.id/id/permendikbudristek-no-45-tahun-2022,PERATURAN MENTERI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",45,2022,PERPINDAHAN MAHASISWA,Jakarta,18 Agustus 2022,,Berlaku,2022,804,,23 Agustus 2022,
https://peraturan.go.id/id/permendagri-no-128-tahun-2018,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,128,2018,BATAS DAERAH KABUPATEN TELUK BINTUNI DENGAN KABUPATEN TELUK WONDAMA PROVINSI PAPUA BARAT,Jakarta,27 Desember 2018,,Berlaku,2019,137,,15 Februari 2019,
https://peraturan.go.id/id/pp-no-70-tahun-2019,PERATURAN PEMERINTAH,PEMERINTAH PUSAT,70,2019,"PERENCANAAN, PENYELENGGARAAN, DAN EVALUASI TERHADAP PENGHORMATAN, PELINDUNGAN, DAN PEMENUHAN HAK PENYANDANG DISABILITAS",Jakarta,02 Oktober 2019,JOKO WIDODO,Berlaku,2019,184,6399,04 Oktober 2019,
https://peraturan.go.id/id/perda-kabupaten-blora-no-21-tahun-2018,PERATURAN DAERAH,KABUPATEN BLORA,21,2018,Bantuan Hukum Untuk Masyarakat Miskin,,12 Desember 2018,,Berlaku,,21,21,12 Desember 2018,
https://peraturan.go.id/id/permenkeu-no-218-pmk-07-2022-tahun-2022,PERATURAN MENTERI,KEMENTERIAN KEUANGAN,218/PMK.07/2022,2022,PERUBAHAN RINCIAN DANA BAGI HASIL TAHUN ANGGARAN 2022 ,Jakarta,29 Desember 2022,,Berlaku,2022,1367,,30 Desember 2022,
https://peraturan.go.id/id/permendagri-no-107-tahun-2019,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,107,2019,BATAS DAERAH ANTARA KABUPATEN MANOKWARI SELATAN DENGAN KABUPATEN TELUK BINTUNI PROVINSI PAPUA BARAT,Jakarta,27 Desember 2019,,Berlaku,2020,44,,27 Januari 2020,
https://peraturan.go.id/id/permenpanrb-no-76-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI,76,2020,JABATAN FUNGSIONAL PENATA KELOLA PERUSAHAAN NEGARA,Jakarta,16 November 2020,,Berlaku,2020,1333,,23 November 2020,
https://peraturan.go.id/id/permenag-no-3-tahun-2023,PERATURAN MENTERI,KEMENTERIAN AGAMA,3,2023,PEMBERIAN REKOMENDASI PERIZINAN ORANG ASING DI BIDANG AGAMA ,Jakarta,10 Januari 2023,YAQUT CHOLIL QOUMAS,Berlaku,2023,48,,10 Januari 2023,ASEP N. MULYANA
https://peraturan.go.id/id/permenpanrb-no-2-tahun-2022,PERATURAN MENTERI,KEMENTERIAN PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI,2,2022,JABATAN FUNGSIONAL WIDYABASA ,Jakarta,18 Januari 2022,,Berlaku,2022,132,,31 Januari 2022,
https://peraturan.go.id/id/permenperin-no-36-tahun-2021,PERATURAN MENTERI,KEMENTERIAN PERINDUSTRIAN,36,2021,KENDARAAN BERMOTOR RODA EMPAT EMISI KARBON RENDAH,Jakarta,28 Desember 2021,,Berlaku,2021,1534,,31 Desember 2021,
https://peraturan.go.id/id/perpres-no-68-tahun-2020,PERATURAN PRESIDEN,PEMERINTAH PUSAT,68,2020,KOMISI NASIONAL DISABILITAS,Jakarta,08 Juni 2020,JOKO WIDODO,Berlaku,2020,144,,09 Juni 2020,
https://peraturan.go.id/id/perda-kabupaten-bone-no-9-tahun-2009,PERATURAN DAERAH,KABUPATEN BONE,9,2009,Retribusi Pengelolaan Pasar Hewan,,26 Juni 2009,,Berlaku,,9,,26 Juni 2009,
https://peraturan.go.id/id/perda-kota-malang-no-6-tahun-2010,PERATURAN DAERAH,KOTA MALANG,6,2010,RENCANA PEMBANGUNAN JANGKA MENENGAH DAERAH TAHUN 2009-2013  ,,05 November 2010,,Berlaku,,3,,23 Desember 2010,
https://peraturan.go.id/id/peraturan-bsn-no-21-tahun-2021,PERATURAN BADAN/LEMBAGA,BADAN STANDARDISASI NASIONAL,21,2021,PERUBAHAN ATAS PERATURAN BADAN STANDARDISASI NASIONAL NOMOR 7 TAHUN 2017 TENTANG TATA NASKAH DINAS DI LINGKUNGAN BADAN STANDARDISASI NASIONAL,Jakarta,06 September 2021,,Berlaku,2021,1025,,07 September 2021,
https://peraturan.go.id/id/peraturan-bphmigas-no-6-tahun-2020,PERATURAN BADAN/LEMBAGA,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI,6,2020,HARGA JUAL GAS BUMI MELALUI PIPA UNTUK KONSUMEN RUMAH TANGGA DAN PELANGGAN KECIL PADA JARINGAN PIPA DISTRIBUSI KABUPATEN SAROLANGUN PROVINSI JAMBI,Jakarta,23 November 2020,,Berlaku,2020,1576,,22 Desember 2020,
https://peraturan.go.id/id/perpres-no-98-tahun-2021,PERATURAN PRESIDEN,PEMERINTAH PUSAT,98,2021,PENYELENGGARAAN NILAI EKONOMI KARBON UNTUK PENCAPAIAN TARGET KONTRIBUSI YANG DITETAPKAN SECARA NASIONAL DAN PENGENDALIAN EMISI GAS RUMAH KACA DALAM PEMBANGUNAN NASIONAL,Jakarta,29 Oktober 2021,,Berlaku,2021,249,,29 Oktober 2021,
https://peraturan.go.id/id/permendagri-no-63-tahun-2019,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,63,2019,BATAS DAERAH ANTARA KABUPATEN MUSI BANYUASIN DENGAN KABUPATEN PENUKAL ABAB LEMATANG ILIR PROVINSI SUMATERA SELATAN,Jakarta,24 September 2019,,Berlaku,2019,1281,,23 Oktober 2019,
https://peraturan.go.id/id/permendagri-no-124-tahun-2018,PERATURAN MENTERI,KEMENTERIAN DALAM NEGERI,124,2018,BATAS DAERAH KABUPATEN KAIMANA PROVINSI PAPUA BARAT DENGAN KABUPATEN DOGIYAI PROVINSI PAPUA ,Jakarta,27 Desember 2018,,Berlaku,2019,133,,15 Februari 2019,
